generator,method,overall,cat1,cat2,cat3,cat4
GPT-4.1-mini,FullText,85.30,86.74,85.66,65.00,87.00
GPT-4.1-mini,NaiveRAG,78.88,76.25,68.90,62.58,85.44
GPT-4.1-mini,BM25 Fact + CE,77.99,64.18,79.75,61.46,83.83
GPT-4.1-mini,Graph Retrieval,80.42,78.56,54.62,67.85,92.34
GPT-4.1-mini,LightMem,72.14,72.05,54.56,56.74,80.64
GPT-4.1-mini,MECo,78.40,67.67,79.44,58.33,83.12
GPT-4.1-mini,HyperMem,84.22,82.98,77.57,61.46,89.77
GPT-4.1-mini,EverMemOS,86.82,83.33,81.93,43.75,94.77
GPT-4.1-mini,Hindsight,86.26,81.62,82.22,75.00,90.64
GPT-4.1-mini,Mnemis,87.04,84.40,79.75,63.04,93.34
GPT-4.1-mini,HyPathMem,91.62,90.07,90.34,77.08,94.29
Qwen3-30B,FullText,81.30,74.47,75.08,66.67,87.63
Qwen3-30B,NaiveRAG,75.78,72.70,65.42,59.38,82.64
Qwen3-30B,BM25 Fact + CE,75.71,64.18,69.47,64.58,83.23
Qwen3-30B,Graph Retrieval,76.62,75.18,49.84,64.58,88.70
Qwen3-30B,LightMem,70.50,70.45,49.87,53.84,80.29
Qwen3-30B,MECo,77.40,76.24,65.42,58.33,84.54
Qwen3-30B,HyperMem,81.69,80.14,72.59,60.42,88.11
Qwen3-30B,EverMemOS,83.90,76.95,77.88,52.08,92.15
Qwen3-30B,Hindsight,83.90,78.37,81.00,71.88,88.23
Qwen3-30B,Mnemis,83.64,82.51,73.78,60.23,90.45
Qwen3-30B,HyPathMem,87.84,85.27,83.26,70.83,92.39
