generator,method,overall,user,assistant,update,temporal,multi_session,preference
GPT-4.1-mini,FullText,61.06,90.20,95.75,75.49,45.56,41.78,45.00
GPT-4.1-mini,NaiveRAG,74.05,92.54,95.27,79.89,55.36,70.45,75.67
GPT-4.1-mini,BM25 Fact + CE,67.31,87.36,93.64,78.46,46.28,58.74,73.50
GPT-4.1-mini,Graph Retrieval,62.56,95.26,67.58,70.25,37.68,60.44,76.67
GPT-4.1-mini,LightMem,66.86,85.14,35.64,83.52,61.85,66.87,65.84
GPT-4.1-mini,MECo,71.40,97.14,57.14,80.77,66.92,67.67,50.00
GPT-4.1-mini,Mnemis,78.90,92.86,100.00,79.43,75.59,72.22,50.00
GPT-4.1-mini,HyperMem,79.40,95.71,91.07,83.33,73.68,71.43,70.00
GPT-4.1-mini,EverMemOS,79.80,95.71,82.14,88.46,66.17,76.44,92.22
GPT-4.1-mini,Hindsight,69.20,90.00,100.00,78.21,54.89,54.14,70.00
GPT-4.1-mini,HyPathMem,82.40,96.29,100.00,83.33,77.44,71.92,83.33
Qwen3-30B,FullText,57.00,87.14,89.29,71.79,42.11,37.59,40.00
Qwen3-30B,NaiveRAG,72.10,90.86,93.33,77.77,54.14,67.67,73.33
Qwen3-30B,BM25 Fact + CE,65.40,85.71,96.64,76.92,43.61,56.39,70.00
Qwen3-30B,Graph Retrieval,60.40,95.71,64.29,67.95,35.34,57.14,76.67
Qwen3-30B,LightMem,63.46,84.76,34.86,77.48,57.33,62.86,60.48
Qwen3-30B,MECo,69.28,94.56,57.33,78.41,59.13,66.37,66.83
Qwen3-30B,Mnemis,74.78,94.64,95.76,79.37,67.28,63.63,60.00
Qwen3-30B,HyperMem,71.00,95.71,89.29,70.51,63.91,55.64,80.00
Qwen3-30B,EverMemOS,74.20,88.57,83.93,85.90,65.41,60.90,90.00
Qwen3-30B,Hindsight,66.69,87.68,95.45,75.44,52.89,52.58,64.98
Qwen3-30B,HyPathMem,79.60,95.71,98.64,83.67,70.57,69.98,80.00
